Id,Championnat,Id_Pays
167,Segunda Federación - Gr. II,15
168,Regionalliga Nord,2
169,Premium Liiga,16
170,Primera División Apertura,94
171,Primera División Clausura,94
172,Serie D - H,27
173,Championship,85
174,Segunda Federación - Gr. V,15
175,Meridianbet 1. CFL,35
176,Prva NL,46
177,Premiership,24
178,BGL Ligue,32
179,Serie D - F,27
180,Serie D - E,27
181,Super Liga,33
182,Serie D - C,27
183,Pershaya Liga,8
184,National League Championship,71
185,Serie D - D,27
186,Segunda Federación - Gr. I,15
187,Premier League,114
188,CanPL,89
189,Hong Kong Premier League,72
190,Vysshaya Liga,73
191,Serie D - A,27
192,National League - North,71
193,Primera Divisió,3
194,Supercoupe d'Algérie,109
195,Premier League,82
196,Serie D - G,27
197,Druga Liga,12
198,Serie D - I,27
199,Prva liga FBIH,9
200,Fiji Premier League,74
201,Myanmar National League,75
202,II. Liga,45
203,C. Premier League,57
204,Kategoria e Parë,1
205,Bangladesh PL,76
206,Cymru Premier,38
207,Liga FUTVE 2,106
208,Betri-deildin,52
209,Prva Liga RS,44
210,PFL,77
211,I-League,64
212,Liga 3,42
213,National League - Central,71
214,Lengjudeild,25
215,Copa Simón Bolívar (-2024),87
216,Gibraltar Football League,20
217,National League - South,71
218,Camp. Sammarinese,47
219,Promotion League,48
220,Uzbekistan Pro Liga,81
221,First League,33
222,Pervaya Liga,43
223,Norsk Tipping-Ligaen avd. 2,36
224,Ykkösliiga,17
225,National League,14
226,MSFL,41
227,Liga Primera Apertura,100
228,CFL,10
229,Lao League 1,78
230,2. Division B,11
231,Football Premier League,66
232,Premier League,113
233,NPFL,117
234,Uganda Premier League,118
235,Ligue 1,119
236,D1 Comores,111
