ID,Championnat,Lien,Valeur,Pays,Continent
66,Persian Gulf League,https://www.transfermarkt.fr/persian-gulf-pro-league/startseite/wettbewerb/IRN1,135250000,58,2
67,K League 1,https://www.transfermarkt.fr/k-league-1/startseite/wettbewerb/RSK1,133800000,59,2
68,Primera División Apertura,https://www.transfermarkt.fr/primera-division-apertura/startseite/wettbewerb/PR1A,124900000,102,3
69,Primera División Clausura,https://www.transfermarkt.fr/primera-division-clausura/startseite/wettbewerb/PR1C,124900000,102,3
70,Botola Pro Inwi,https://www.transfermarkt.fr/botola-pro-inwi/startseite/wettbewerb/MAR1,121220000,116,4
71,Serie C - C,https://www.transfermarkt.fr/serie-c-girone-c/startseite/wettbewerb/IT3C,115750000,44,1
72,Premyer Liqa,https://www.transfermarkt.fr/premyer-liqa/startseite/wettbewerb/AZ1,110380000,45,1
73,Primera Nacional,https://www.transfermarkt.fr/primera-nacional/startseite/wettbewerb/ARG2,104620000,86,3
74,Serie C - A,https://www.transfermarkt.fr/serie-c-girone-a/startseite/wettbewerb/IT3A,99900000,29,1
75,Niké Liga,https://www.transfermarkt.fr/nike-liga/startseite/wettbewerb/SLO1,98680000,12,1
76,Serie C - B,https://www.transfermarkt.fr/serie-c-girone-b/startseite/wettbewerb/IT3B,98320000,35,1
77,Ligue 1,https://www.transfermarkt.fr/ligue-1/startseite/wettbewerb/ALG1,97380000,109,4
78,Primera Federación - Gr. I,https://www.transfermarkt.fr/primera-federacion-grupo-i/startseite/wettbewerb/E3G1,96650000,22,1
79,USLC,https://www.transfermarkt.fr/usl-championship/startseite/wettbewerb/USL,95810000,95,3
80,MTN8,https://www.transfermarkt.fr/mtn8/startseite/wettbewerb/SFAL,94780000,110,4
81,League Two,https://www.transfermarkt.fr/league-two/startseite/wettbewerb/GB4,93350000,19,1
82,Iraq Stars League,https://www.transfermarkt.fr/iraq-stars-league/startseite/wettbewerb/IRQ1,93060000,60,2
83,Primera Federación - Gr. II,https://www.transfermarkt.fr/primera-federacion-grupo-ii/startseite/wettbewerb/E3G2,89650000,2,1
84,Liga Expansión MX Cl.,https://www.transfermarkt.fr/liga-de-expansion-mx-clausura/startseite/wettbewerb/MEX2,89430000,99,3
85,Liga Expansión MX Ap.,https://www.transfermarkt.fr/liga-de-expansion-mx-apertura/startseite/wettbewerb/MEXB,89430000,99,3
86,A-League Men,https://www.transfermarkt.fr/a-league-men/startseite/wettbewerb/AUS1,87230000,61,2
87,K League 2,https://www.transfermarkt.fr/k-league-2/startseite/wettbewerb/RSK2,87100000,59,2
88,Superliga,https://www.transfermarkt.fr/ozbekiston-superligasi/startseite/wettbewerb/UZ1,87010000,81,2
89,División Profesional,https://www.transfermarkt.fr/division-profesional/startseite/wettbewerb/BO1A,85010000,87,3
90,Egyptian Super Cup,https://www.transfermarkt.fr/egyptian-super-cup/startseite/wettbewerb/ESCU,84300000,112,4
91,Betclic 1 Liga,https://www.transfermarkt.fr/betclic-1-liga/startseite/wettbewerb/PL2,83240000,5,1
